,Standard Name,Summary
272,Knowledge Network,"Knowledge Network, also branded as British Columbia's Knowledge Network, is a Canadian publicly funded educational cable television network serving the province of British Columbia. It is owned by the Knowledge Network Corporation, a Crown corporation of the Government of British Columbia, and began broadcasting on January 12, 1981. Rudy Buttignol is president and CEO of Knowledge Network.Knowledge Network's broadcast licence is for satellite-to-cable programming. The network is available on the Bell Satellite TV satellite service, on channel 268, on Shaw Direct channel 354, and on TELUS Optik TV channel 117. It has also been broadcast over-the-air in remote locations throughout British Columbia, with these repeater sites being operated by local volunteers in the few areas of the province where cable television is not available. The network used the callsign CKNO, although the transmitters were assigned numeric callsigns with the prefix ""CH"" due to being low-powered.Knowledge receives funding both from the British Columbia government and from public donations. The station supports lifelong learning for children and adults by providing quality, commercial-free programming through its broadcast channel, websites and apps. Knowledge Network also invests in documentaries and children's programs produced by independent filmmakers and helps to develop skills within the independent production community."
273,Kobo Inc.,"Rakuten Kobo Inc., or simply Kobo, is a Canadian company that sells ebooks, audiobooks, ereaders and tablet computers. It is headquartered in Toronto, Ontario, and is a subsidiary of the Japanese ecommerce conglomerate Rakuten. The name Kobo is an anagram of book."
274,Koingo Software,"Koingo Software, established in 1994, is a Canadian corporation that designs and distributes software for both Macintosh and Windows. Presently, the business develops a mix of 8 shareware and freeware applications, most of which are available for the Macintosh and Windows.
Except for a few games in the past, the majority of the titles have been geared towards personal time, data, security, and information management such as for home inventory, scheduling, password and data storage, and digital anti-theft monitoring and protection."
275,Kootenay Direct Airlines,"Kootenay Direct Airlines Ltd. was an airline based in Nelson, British Columbia, Canada. It operated charter services to destinations in British Columbia, Canada and the United States. Its main base was in Nelson, British Columbia."
276,Kruger Inc.,"Kruger Inc. is a Canadian corporation which manufactures publication papers, tissue, lumber and other wood products, corrugated cartons from recycled fibres, green and renewable energy, and wines and spirits. Kruger Inc. operates facilities in Québec, Ontario, British Columbia, Newfoundland and Labrador, and the United States.

"
277,L'Oie de Cravan,"L’Oie de Cravan (translated The Goose of Cravan) is a Canadian publishing house based in Montreal, Quebec that specializes in poetry. It was founded in January 1992 by  poet and writer Benoît Chaput. The name is seen as a tribute to the poet-boxer Arthur Cravan.
The poets published by L’Oie de Cravan are often influenced by the surrealist movement. L’Oie de Cravan also publishes the work of cartoonists and illustrators, such as Simon Bossé, Geneviève Castrée, Julie Doucet and Diane Obomsawin. It has also published the writings of people associated with the music world, such as critic Byron Coley, folk singer Michael Hurley and punk rock icon Mike Watt.

"
278,La Capitale,"La Capitale is a Belgian daily regional newspaper, specializing in the region around Brussels and published in French. It is part of the Sud Presse group. The paper is published by Rossel & CIE S.A.  and is based in Brussels.

"
279,La Maison Simons,"La Maison Simons, commonly known as Simons, is a fashion retailer in Canada, headquartered in Quebec City, Quebec. It is a family business currently operated by Richard and Peter Simons. The business was established in 1840 by the son of a Scottish immigrant to Quebec as a dry goods store. In the 1960s, the focus of the business changed to a department store, incorporating youth-oriented brands. Beginning in 1981, La Maison Simons began an expansion across Quebec. In 2012, the company expanded its business to the West Edmonton Mall in Alberta first, before opening several more stores across Canada. The success of the location at the West Edmonton Mall led to the company being sought out as a key anchor tenant at malls across Canada. Primarily a privately held firm, La Maison Simons received outside investment for the first time in its history in 2018 when it sought to open a distribution centre in Quebec City.

"
280,Labatt Brewing Company,"Labatt Brewing Company Limited (French: La Brasserie Labatt Limitée) is a Belgian-owned brewery headquartered in Toronto, Ontario, Canada. Founded in 1847, Labatt is the largest brewer in Canada.In 1995, it was purchased by Belgian brewer Interbrew. In 2004, Interbrew merged with Brazilian brewer AmBev to form InBev. In 2008, InBev merged with American brewer Anheuser-Busch to form Anheuser-Busch InBev (abbreviated as AB InBev), making Labatt part of Anheuser-Busch InBev. On October 10, 2016, an over $100 billion merger between Anheuser-Busch InBev and SABMiller closed. Labatt is now part of the new company, Anheuser-Busch InBev SA/NV, which is trading as BUD on the New York Stock Exchange (ABI:BB in Brussels).In the United States, Labatt brand beers are sold under license by Labatt USA, which since 2009 has been fully independent of the Canadian firm and a subsidiary of the privately held FIFCO USA of Rochester, New York."
281,LASIK MD,"LASIK MD is a North America provider of laser vision correction and the largest provider of laser vision correction in North America based on procedure volume. As of 2013, LASIK MD performs over sixty percent of all laser vision correction procedures in Canada.LASIK MD was founded in 2001 by Dr. Mark Cohen and Dr. Avi Wallerstein with two initial clinics in Montreal, Quebec, Canada and Toronto, Ontario, Canada. As of 2019, there are 34 LASIK MD eye centres located across Canada. The clinics serve all major metropolitan areas throughout Canada. LASIK MD is a provider of vision correction procedures, performing LASIK, PRK, presbyopia and keratoconus treatments.  The LASIK MD centre in Montreal is the largest private eye care centre in the province of Quebec and also performs cataract surgeries.The LASIK MD Montreal location is a LASIK training centre for Canadian laser eye surgeons. It is a non-hospital based facility accredited by the College of Physicians of Quebec for the training of laser vision correction to ophthalmic surgery residents. This accreditation was obtained via the University of Sherbrooke."
